fieldNumber,fieldSpeciesName,infraSpecificRank,infraSpecificName,otherSpeciesName,altitude,sourceOfCoordinates,coordinatePrecision,coordinateUncertainty,dateCreated,sourceFile,generalNotes,hybridStatus,hybridStatusNotes,archived,nswNumber,sampleDate,bundleNumber,boxNumber,livingCollectionId,populationGeneticsId,collectionNotes,tissueSampleColumn,tissueSampleType,hmNumber,herbariumId,herbariumSpecimenIrn,herbariumSpecimenCollector,herbariumCollectionDate,dateToDart,dartServiceNumber,dartOptimization,dartSequencing,duplicateSampleSent,dartNotes,dateToMtAnnan,destructiveSamplingDate,destructiveSamplingBy,destructiveSamplingSiteName,populationInfoId,phenologyId,eventId,idCurrent,acceptedName,genus,species,provisionalAcceptedStatus,taxonType,locality,nationalPark,natureReserve,peoplePresent,stateConservationArea,stateForest,otherTenure,eventKey,plants10m,adultsPresent,juvenilesPresent,speciesIdConfidence,speciesIdNotes,nativeStatus,populationNotes,reproductiveState,flowers,fruit,dartOrderCount,dartOrderServiceNumbers,projectsString,id,type,date,decimalLongitude,decimalLatitude,geodeticDatum
,Planchonella australis,,,,851.0,GPS,4800.0,,2021-09-13 00:49:59.461346+00:00,species_2021-09-10 172140.227870.txt,,,,False,NSW1037822,2021-09-10T00:00:00+00:00,,,,,Sapling. GPS generalised.,,Tissue,,,,,,,,,,,,,,,,popnInfo-OgvgmBbk,phenology-5e5df721,e5f65a80-11d0-11ec-9ce4-d507b1963eff,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Mt Nardi and Mulgum Creek,Nightcap National Park,,Rob Kooyman,,,,e5f65a80-11d0-11ec-9ce4-d507b1963eff,Less than 5,Yes,Yes,,,,,,Not present,Seed mature,1,DPout21-6641,RandR,,,,153.286,-28.544,WGS84
,Planchonella australis,,,,230.0,GPS,,,2018-09-23 14:00:00+00:00,restore_and_renew 19 Sep 18.xls,,,,False,NSW1031701,2018-09-12T14:00:00+00:00,,,,,,Location...genetic.sample.2,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003587,,S2460_2018-09-13,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Gibbergunyah range road Big Scrub,Nightcap National Park,,Robert Kooyman,,,,S2460_2018-09-13,less than 5,Yes,Yes,,,,,,,,0,,RandR,,,,153.330444,-28.639383,WGS84
,Planchonella australis,,,,252.0,GPS,,,2018-09-23 14:00:00+00:00,restore_and_renew 19 Sep 18.xls,,,,False,NSW1031700,2018-09-12T14:00:00+00:00,,,,,,Location...genetic.sample.3,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003587,,S2460_2018-09-13,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Gibbergunyah range road Big Scrub,Nightcap National Park,,Robert Kooyman,,,,S2460_2018-09-13,less than 5,Yes,Yes,,,,,,,,0,,RandR,,,,153.330042,-28.638581,WGS84
,Planchonella australis,,,,249.0,GPS,,,2018-09-23 14:00:00+00:00,restore_and_renew 19 Sep 18.xls,,,,False,NSW1031699,2018-09-12T14:00:00+00:00,,,,,,Location...genetic.sample.4,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003587,,S2460_2018-09-13,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Gibbergunyah range road Big Scrub,Nightcap National Park,,Robert Kooyman,,,,S2460_2018-09-13,less than 5,Yes,Yes,,,,,,,,0,,RandR,,,,153.330141,-28.638421,WGS84
,Planchonella australis,,,,256.0,GPS,,,2018-09-23 14:00:00+00:00,restore_and_renew 19 Sep 18.xls,,,,False,NSW1031698,2018-09-12T14:00:00+00:00,,,,,,Location...genetic.sample.5,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003587,,S2460_2018-09-13,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Gibbergunyah range road Big Scrub,Nightcap National Park,,Robert Kooyman,,,,S2460_2018-09-13,less than 5,Yes,Yes,,,,,,,,0,,RandR,,,,153.330043,-28.638381,WGS84
,Planchonella australis,,,,247.0,GPS,,,2018-09-23 14:00:00+00:00,restore_and_renew 19 Sep 18.xls,,,,False,NSW1031697,2018-09-12T14:00:00+00:00,,,,,,Location...genetic.sample.6,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003587,,S2460_2018-09-13,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Gibbergunyah range road Big Scrub,Nightcap National Park,,Robert Kooyman,,,,S2460_2018-09-13,less than 5,Yes,Yes,,,,,,,,0,,RandR,,,,153.329546,-28.638123,WGS84
,Planchonella australis,,,,218.0,GPS,,,2019-01-31 13:00:00+00:00,restore_and_renew_14Jan2019.xls,,,,False,NSW1045379,2018-12-11T13:00:00+00:00,,,,,,location_genetic_sample_1,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003854,,S2810_2018-12-12,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Big Scrub reserve Gibbergunnyah Range Road,Nightcap National Park,,Robert Kooyman,,,,S2810_2018-12-12,less than 5,yes,yes,,,,,,,,1,DPout21-6641,RandR,,,,153.334961,-28.641061,WGS84
,Planchonella australis,,,,214.0,GPS,,,2019-01-31 13:00:00+00:00,restore_and_renew_14Jan2019.xls,,,,False,NSW1045380,2018-12-11T13:00:00+00:00,,,,,,location_genetic_sample_2,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003854,,S2810_2018-12-12,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Big Scrub reserve Gibbergunnyah Range Road,Nightcap National Park,,Robert Kooyman,,,,S2810_2018-12-12,less than 5,yes,yes,,,,,,,,1,DPout21-6641,RandR,,,,153.334608,-28.640723,WGS84
,Planchonella australis,,,,253.0,GPS,,,2019-01-31 13:00:00+00:00,restore_and_renew_14Jan2019.xls,,,,False,NSW1045386,2018-12-11T13:00:00+00:00,,,,,,location_genetic_sample_3,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003854,,S2810_2018-12-12,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Big Scrub reserve Gibbergunnyah Range Road,Nightcap National Park,,Robert Kooyman,,,,S2810_2018-12-12,less than 5,yes,yes,,,,,,,,1,DPout21-6641,RandR,,,,153.328736,-28.637485,WGS84
,Planchonella australis,,,,252.0,GPS,,,2019-01-31 13:00:00+00:00,restore_and_renew_14Jan2019.xls,,,,False,NSW1045387,2018-12-11T13:00:00+00:00,,,,,,location_genetic_sample_4,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003854,,S2810_2018-12-12,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Big Scrub reserve Gibbergunnyah Range Road,Nightcap National Park,,Robert Kooyman,,,,S2810_2018-12-12,less than 5,yes,yes,,,,,,,,1,DPout21-6641,RandR,,,,153.328627,-28.637537,WGS84
